canonical,recipe_slots,recipe
fin_contract_asset_intensity,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_contract_asset_liability_gap,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_contract_liability_growth,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_contract_liability_intensity,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_core_earnings_ratio,3,"{""operating_profit"": ""operating_profit"", ""revenue"": ""revenue"", ""period_id"": ""period_id""}"
fin_cv,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_days_since_expectation_revision,1,"{""expected"": ""earnings_expected""}"
fin_days_since_update,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_debt_repayment_intensity,2,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_debt_service_coverage_proxy,2,"{""ocf"": ""operating_cash_flow"", ""period_id"": ""period_id""}"
fin_deferred_tax_gap,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_delta_noa,5,"{""total_assets"": ""total_assets"", ""cash"": ""cash_balance"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_diff,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_discontinued_operation_ratio,2,"{""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
fin_divergence,3,"{""x"": ""continuous_close"", ""y"": ""return_decimal"", ""period_id"": ""period_id""}"
fin_earnings_cash_gap_volatility,5,"{""net_profit"": ""net_profit"", ""ocf"": ""operating_cash_flow"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_earnings_persistence,3,"{""net_profit"": ""net_profit"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_earnings_smoothness,4,"{""net_profit"": ""net_profit"", ""ocf"": ""operating_cash_flow"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_equity_capital_growth,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_expectation_dispersion,1,"{""expected_std"": ""continuous_close""}"
fin_expectation_revision,1,"{""expected"": ""earnings_expected""}"
fin_expectation_revision_count,1,"{""expected"": ""earnings_expected""}"
fin_expectation_revision_magnitude,1,"{""expected"": ""earnings_expected""}"
fin_expectation_revision_pct,1,"{""expected"": ""earnings_expected""}"
fin_expectation_revision_speed,1,"{""expected"": ""earnings_expected""}"
fin_expense_sales_divergence,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_fair_value_income_dependence,1,"{""period_id"": ""period_id""}"
fin_financing_gap,4,"{""ocf"": ""operating_cash_flow"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_fundamental_strength_coverage,3,"{""ocf"": ""operating_cash_flow"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_fundamental_strength_score,3,"{""ocf"": ""operating_cash_flow"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_goodwill_intensity,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_goodwill_risk_score,3,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth_acceleration,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth_change,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth_persistence,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth_stability,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_growth_volatility,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_impairment_intensity,1,"{""period_id"": ""period_id""}"
fin_interest_coverage_proxy,2,"{""operating_profit"": ""operating_profit"", ""period_id"": ""period_id""}"
fin_inventory_sales_divergence,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_investment_income_dependence,1,"{""period_id"": ""period_id""}"
fin_lag,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_lease_asset_liability_gap,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_lease_intensity,2,"{""total_assets"": ""total_assets"", ""period_id"": ""period_id""}"
fin_log_change,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_margin_persistence,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_mean_abs_deviation,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_median_abs_deviation,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_minority_profit_share,2,"{""net_profit"": ""net_profit"", ""period_id"": ""period_id""}"
fin_miss_streak,2,"{""expected"": ""earnings_expected"", ""period_id"": ""period_id""}"
fin_monotonicity,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_negative_streak,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_net_borrowing_cashflow,3,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_net_debt_issuance,3,"{""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_noncore_income_ratio,1,"{""period_id"": ""period_id""}"
fin_oci_to_equity,1,"{""period_id"": ""period_id""}"
fin_other_earnings_dependence,1,"{""period_id"": ""period_id""}"
fin_pct_change,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_percentile_history,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_percentile_vs_prior_history,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_period_restated,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_period_revision_age,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_period_revision_count,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_positive_streak,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_qoq,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_quarter_from_cumulative,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_range,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_ratio,1,"{""numerator"": ""continuous_close""}"
fin_rd_capitalization_ratio,1,"{""period_id"": ""period_id""}"
fin_rd_total_intensity,1,"{""period_id"": ""period_id""}"
fin_receivable_sales_divergence,2,"{""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_restated_flag,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_revision_count,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_revision_delta,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_revision_direction,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_revision_magnitude,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_revision_pct,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_roe_cash_gap,4,"{""net_profit"": ""net_profit"", ""ocf"": ""operating_cash_flow"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_seasonal_percentile,1,"{""x"": ""continuous_close""}"
fin_seasonal_zscore,1,"{""x"": ""continuous_close""}"
fin_sign_change_count,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_stability,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_staleness,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_std,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_surprise,1,"{""expected"": ""earnings_expected""}"
fin_surprise_event_percentile,2,"{""expected"": ""earnings_expected"", ""period_id"": ""period_id""}"
fin_surprise_event_zscore,2,"{""expected"": ""earnings_expected"", ""period_id"": ""period_id""}"
fin_surprise_zscore,1,"{""expected"": ""earnings_expected""}"
fin_total_operating_accruals,5,"{""total_assets"": ""total_assets"", ""cash"": ""cash_balance"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_trend_acceleration,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_trend_r2,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_trend_slope,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_trend_tstat,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_ttm,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_ttm_cumulative,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_ttm_quarterly,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_turnover,1,"{""period_id"": ""period_id""}"
fin_working_capital_accruals,4,"{""cash"": ""cash_balance"", ""avg_assets"": ""total_assets"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_working_capital_change,1,"{""period_id"": ""period_id""}"
fin_yoy,3,"{""x"": ""continuous_close"", ""period_id"": ""period_id"", ""flow_type"": ""cash_flow_type""}"
fin_zscore_history,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fin_zscore_vs_prior_history,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_acceleration,2,"{""value"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_accrual_quality,1,"{""period_id"": ""period_id""}"
fiscal_ar_resid_std,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_asymmetric_elasticity,1,"{""period_id"": ""period_id""}"
fiscal_asymmetric_timeliness,1,"{""period_id"": ""period_id""}"
fiscal_autocorr,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_change_direction_agreement,3,"{""x"": ""continuous_close"", ""y"": ""return_decimal"", ""period_id"": ""period_id""}"
fiscal_direction_consistency,1,"{""period_id"": ""period_id""}"
fiscal_pair_direction_agreement,1,"{""period_id"": ""period_id""}"
fiscal_pct_change,2,"{""value"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_perpetual_inventory,1,"{""period_id"": ""period_id""}"
fiscal_regression_resid_std,2,"{""y"": ""return_decimal"", ""period_id"": ""period_id""}"
fiscal_reversal_ratio,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_rolling_std,2,"{""value"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_sign_agreement,1,"{""period_id"": ""period_id""}"
fiscal_sign_consistency,1,"{""period_id"": ""period_id""}"
fiscal_standardized_surprise,2,"{""x"": ""continuous_close"", ""period_id"": ""period_id""}"
fiscal_true_streak,2,"{""condition"": ""condition_bool"", ""period_id"": ""period_id""}"
fix,1,"{""x"": ""continuous_close""}"
flex_max,1,"{""x"": ""continuous_close""}"
flex_min,1,"{""x"": ""continuous_close""}"
float_share_ratio,1,"{""float_shares"": ""continuous_close""}"
floor,1,"{""x"": ""continuous_close""}"
free_float_ratio,1,"{""free_cap"": ""continuous_close""}"
free_float_share_ratio,1,"{""free_float_shares"": ""continuous_close""}"
free_float_turnover,1,"{""volume"": ""raw_volume_shares""}"
free_to_circulating_ratio,1,"{""free_cap"": ""continuous_close""}"
fundamental_staleness,1,"{""available_at"": ""continuous_close""}"
garman_klass_vol,4,"{""open"": ""continuous_open"", ""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
ge,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
group_corr_mst_length,1,"{""x"": ""continuous_close""}"
group_count,1,"{""x"": ""continuous_close""}"
group_current_members_tail_coexceedance,1,"{""x"": ""continuous_close""}"
group_decay_linear,1,"{""x"": ""continuous_close""}"
group_distribution_js_divergence,1,"{""x"": ""continuous_close""}"
group_ex_self_mad,1,"{""x"": ""continuous_close""}"
group_ex_self_mean,1,"{""x"": ""continuous_close""}"
group_ex_self_quantile,1,"{""x"": ""continuous_close""}"
group_ex_self_std,1,"{""x"": ""continuous_close""}"
group_ex_self_weighted_mean,1,"{""x"": ""continuous_close""}"
group_feature_coverage_ratio,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_effective_rank,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_mode_localization,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_mode_share,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_second_mode_localization,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_spectral_gap,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_feature_valid_member_count,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_impute_median,1,"{""x"": ""continuous_close""}"
group_kurtosis,1,"{""x"": ""continuous_close""}"
group_leader_laggard_exposure,1,"{""own_return"": ""continuous_close""}"
group_max,1,"{""x"": ""continuous_close""}"
group_mean,1,"{""x"": ""continuous_close""}"
group_min,1,"{""x"": ""continuous_close""}"
group_multi_level_rank_consistency,1,"{""x"": ""continuous_close""}"
group_multi_resid,1,"{""y"": ""return_decimal""}"
group_neutralize,1,"{""x"": ""continuous_close""}"
group_normalize,1,"{""x"": ""continuous_close""}"
group_peer_beta_deviation,1,"{""beta"": ""continuous_close""}"
group_peer_deviation_index,1,"{""d1"": ""continuous_close""}"
group_peer_information_diffusion,1,"{""own_return"": ""continuous_close""}"
group_percentile,1,"{""x"": ""continuous_close""}"
group_quantile_spread,1,"{""x"": ""continuous_close""}"
group_rank,1,"{""x"": ""continuous_close""}"
group_rank_weighted_value,1,"{""x"": ""continuous_close""}"
group_return_dispersion_exposure,1,"{""own_return"": ""continuous_close""}"
group_signal_attraction_share,1,"{""x"": ""continuous_close""}"
group_skewness,1,"{""x"": ""continuous_close""}"
group_spd_feature_structure_shift,3,"{""f1"": ""return_decimal"", ""f2"": ""raw_volume_shares"", ""f3"": ""turnover""}"
group_std,1,"{""x"": ""continuous_close""}"
group_sum,1,"{""x"": ""continuous_close""}"
group_tail_centrality,1,"{""x"": ""continuous_close""}"
group_tail_lead_score,1,"{""x"": ""continuous_close""}"
group_tail_ratio,1,"{""x"": ""continuous_close""}"
group_topk_mean,1,"{""target"": ""return_decimal""}"
group_ts_decay_linear,1,"{""x"": ""continuous_close""}"
group_valid_count,1,"{""x"": ""continuous_close""}"
group_wasserstein_barycenter_distance,1,"{""x"": ""continuous_close""}"
group_weighted_mean,1,"{""x"": ""continuous_close""}"
group_weighted_zscore,1,"{""x"": ""continuous_close""}"
group_winsorize,1,"{""x"": ""continuous_close""}"
group_zscore,1,"{""x"": ""continuous_close""}"
gt,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
hierarchical_group_neutralize,1,"{""x"": ""continuous_close""}"
high_low_spread_proxy,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
holder_class_entropy,1,"{""s1"": ""continuous_close""}"
holder_class_js_shift,1,"{""s1"": ""continuous_close""}"
holder_common_holding_peer_return,1,"{""peer_return"": ""continuous_close""}"
holder_company_ownership_hhi,1,"{""s1"": ""continuous_close""}"
holder_concentration,1,"{""top_holder_shares"": ""continuous_close""}"
holder_concentration_acceleration,1,"{""concentration"": ""continuous_close""}"
holder_concentration_change,1,"{""concentration"": ""continuous_close""}"
holder_concentration_slope,1,"{""concentration"": ""continuous_close""}"
holder_count_change_rate,1,"{""holder_count"": ""continuous_close""}"
holder_disclosure_count,1,"{""s1"": ""continuous_close""}"
holder_disclosure_coverage,1,"{""s1"": ""continuous_close""}"
holder_entry_share,1,"{""s1"": ""continuous_close""}"
holder_exit_share,1,"{""s1"": ""continuous_close""}"
holder_float_concentration_gap,1,"{""top10_concentration"": ""continuous_close""}"
holder_freeze_concentration,1,"{""s1"": ""continuous_close""}"
holder_freeze_ratio,1,"{""freeze_shares"": ""continuous_close""}"
holder_id_matched_churn,1,"{""s1"": ""continuous_close""}"
holder_id_matched_entry_share,1,"{""s1"": ""continuous_close""}"
holder_id_matched_exit_share,1,"{""s1"": ""continuous_close""}"
holder_id_overlap_ratio,1,"{""s1"": ""continuous_close""}"
holder_locked_share_ratio,1,"{""locked_shares"": ""continuous_close""}"
holder_nature_entropy,1,"{""s1"": ""continuous_close""}"
holder_net_entry_share,1,"{""s1"": ""continuous_close""}"
holder_observed_topk_hhi,1,"{""s1"": ""continuous_close""}"
holder_peer_return_breadth,1,"{""breadth"": ""continuous_close""}"
holder_pledge_change,1,"{""pledge_ratio"": ""continuous_close""}"
holder_pledge_churn,1,"{""s1"": ""continuous_close""}"
holder_pledge_concentration,1,"{""s1"": ""continuous_close""}"
holder_pledge_ratio,1,"{""pledge_shares"": ""continuous_close""}"
holder_pledged_holder_count,1,"{""s1"": ""continuous_close""}"
holder_rank_stability,1,"{""s1"": ""continuous_close""}"
holder_share_weighted_rank_migration,1,"{""s1"": ""continuous_close""}"
holder_shareholder_network_centrality,1,"{""degree"": ""continuous_close""}"
holder_shareholder_overlap_ratio,1,"{""shared_holders"": ""continuous_close""}"
holder_topk_share_sum,1,"{""s1"": ""continuous_close""}"
holder_weighted_churn,1,"{""s1"": ""continuous_close""}"
hump_decay,1,"{""x"": ""continuous_close""}"
ichimoku_cloud_position,3,"{""high"": ""continuous_high"", ""low"": ""continuous_low"", ""close"": ""continuous_close""}"
ichimoku_cloud_width,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ichimoku_kijun,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ichimoku_senkou_a,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ichimoku_senkou_b,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
ichimoku_tenkan,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
identity,1,"{""x"": ""continuous_close""}"
idio_skew,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""window"": 60}"
idio_vol,3,"{""ret"": ""return_decimal"", ""benchmark_ret"": ""benchmark_return"", ""window"": 60}"
index_entry_exit_event,1,"{""member"": ""continuous_close""}"
index_event_decay,1,"{""entry_event"": ""continuous_close""}"
index_member,1,"{""member"": ""continuous_close""}"
index_membership_age,1,"{""member"": ""continuous_close""}"
index_reconstitution_churn,1,"{""member"": ""continuous_close""}"
index_weight,1,"{""weight"": ""continuous_close""}"
index_weight_change,1,"{""weight"": ""continuous_close""}"
index_weight_gap_to_free_float,1,"{""index_weight"": ""continuous_close""}"
industry_fiscal_resid,2,"{""y"": ""return_decimal"", ""period_id"": ""period_id""}"
industry_rolling_pca_loading,1,"{""ret"": ""return_decimal""}"
industry_size_neutralize,1,"{""x"": ""continuous_close""}"
intra_abs_return_profile_cosine,1,"{""close"": ""continuous_close""}"
intra_amihud,2,"{""close"": ""continuous_close"", ""amount"": ""amount_local""}"
intra_amount_profile_cosine,1,"{""x"": ""continuous_close""}"
intra_amount_profile_jsd,1,"{""x"": ""continuous_close""}"
intra_bar_range_deviation,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
intra_bar_range_persistence,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
intra_beta_asymmetry,1,"{""close"": ""continuous_close""}"
intra_bipower_variation,1,"{""close"": ""continuous_close""}"
intra_close_participation,1,"{""volume"": ""raw_volume_shares""}"
intra_concentration,1,"{""value"": ""continuous_close""}"
intra_consolidation_quality,3,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares"", ""amount"": ""amount_local""}"
intra_continuous_variance,1,"{""close"": ""continuous_close""}"
intra_down_down_semibeta,1,"{""close"": ""continuous_close""}"
intra_down_up_semibeta,1,"{""close"": ""continuous_close""}"
intra_drawdown_depth,1,"{""close"": ""continuous_close""}"
intra_drawdown_duration,1,"{""close"": ""continuous_close""}"
intra_drawdown_recovery_half_life,1,"{""close"": ""continuous_close""}"
intra_entropy,1,"{""value"": ""continuous_close""}"
intra_eod_reversal_decomposition,1,"{""price"": ""continuous_close""}"
intra_event_pre_post_contrast,1,"{""x"": ""continuous_close""}"
intra_event_window_reduce,1,"{""x"": ""continuous_close""}"
intra_extreme_bar_return,1,"{""close"": ""continuous_close""}"
intra_high_low_affinity,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
intra_high_time,1,"{""high"": ""continuous_high""}"
intra_idiosyncratic_kurtosis,1,"{""close"": ""continuous_close""}"
intra_idiosyncratic_kurtosis_ex_self,1,"{""close"": ""continuous_close""}"
intra_idiosyncratic_skewness,1,"{""close"": ""continuous_close""}"
intra_idiosyncratic_skewness_ex_self,1,"{""close"": ""continuous_close""}"
intra_idiosyncratic_variance,1,"{""close"": ""continuous_close""}"
intra_idiosyncratic_variance_ex_self,1,"{""close"": ""continuous_close""}"
intra_impulse_event_detector,1,"{""price"": ""continuous_close""}"
intra_industry_lead_lag_ex_self,1,"{""close"": ""continuous_close""}"
intra_interval_amount_share,1,"{""amount"": ""amount_local""}"
intra_interval_illiquidity,2,"{""close"": ""continuous_close"", ""amount"": ""amount_local""}"
intra_interval_realized_variance,1,"{""close"": ""continuous_close""}"
intra_interval_return,1,"{""close"": ""continuous_close""}"
intra_interval_volume_share,1,"{""volume"": ""raw_volume_shares""}"
intra_interval_vwap_deviation,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_jump_clustering,1,"{""close"": ""continuous_close""}"
intra_jump_concentration,1,"{""close"": ""continuous_close""}"
intra_jump_count,1,"{""close"": ""continuous_close""}"
intra_jump_first_time,1,"{""close"": ""continuous_close""}"
intra_jump_last_time,1,"{""close"": ""continuous_close""}"
intra_jump_ratio,1,"{""close"": ""continuous_close""}"
intra_jump_variation,1,"{""close"": ""continuous_close""}"
intra_kyle_lambda_proxy,2,"{""close"": ""continuous_close"", ""amount"": ""amount_local""}"
intra_limit_duration,1,"{""close"": ""continuous_close""}"
intra_limit_first_hit_time,1,"{""close"": ""continuous_close""}"
intra_limit_pre_hit_pressure_profile,2,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares""}"
intra_limit_reopen_count,1,"{""close"": ""continuous_close""}"
intra_liquidity_resilience_curve_fit,1,"{""price"": ""continuous_close""}"
intra_longest_above_vwap_streak,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_longest_below_vwap_streak,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_low_time,1,"{""low"": ""continuous_low""}"
intra_lunch_gap_return,1,"{""close"": ""continuous_close""}"
intra_market_lead_lag_ex_self,1,"{""close"": ""continuous_close""}"
intra_market_model_r2,1,"{""close"": ""continuous_close""}"
intra_market_model_r2_ex_self,1,"{""close"": ""continuous_close""}"
intra_max_drawdown,1,"{""close"": ""continuous_close""}"
intra_max_drawup,1,"{""close"": ""continuous_close""}"
intra_multiresolution_resample_reduce,1,"{""x"": ""continuous_close""}"
intra_negative_jump_variation,1,"{""close"": ""continuous_close""}"
intra_negative_tail_variation,1,"{""close"": ""continuous_close""}"
intra_neighbor_event_class,1,"{""event_mask"": ""continuous_close""}"
intra_path_efficiency,1,"{""close"": ""continuous_close""}"
intra_positive_jump_variation,1,"{""close"": ""continuous_close""}"
intra_positive_tail_variation,1,"{""close"": ""continuous_close""}"
intra_post_impulse_response,3,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares"", ""amount"": ""amount_local""}"
intra_price_vwap_max_negative_excursion,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_price_vwap_max_positive_excursion,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_probe_outcome_score,3,"{""price"": ""continuous_close"", ""volume"": ""raw_volume_shares"", ""amount"": ""amount_local""}"
intra_profile_earth_mover_distance,1,"{""x"": ""continuous_close""}"
intra_range_gap_flag,1,"{""event_mask"": ""continuous_close""}"
intra_realized_beta,1,"{""close"": ""continuous_close""}"
intra_realized_beta_ex_self,1,"{""close"": ""continuous_close""}"
intra_realized_correlation,1,"{""close"": ""continuous_close""}"
intra_realized_correlation_ex_self,1,"{""close"": ""continuous_close""}"
intra_realized_kurtosis,1,"{""close"": ""continuous_close""}"
intra_realized_quarticity,1,"{""close"": ""continuous_close""}"
intra_realized_semivariance,1,"{""close"": ""continuous_close""}"
intra_realized_skewness,1,"{""close"": ""continuous_close""}"
intra_realized_variance,1,"{""close"": ""continuous_close""}"
intra_response_curve_features,1,"{""price"": ""continuous_close""}"
intra_return_activity_corr,1,"{""close"": ""continuous_close""}"
intra_return_profile_cosine,1,"{""x"": ""continuous_close""}"
intra_round_price_barrier_response,1,"{""price"": ""continuous_close""}"
intra_round_price_clustering_share,1,"{""price"": ""continuous_close""}"
intra_same_slot_momentum,1,"{""close"": ""continuous_close""}"
intra_same_slot_reversal,1,"{""close"": ""continuous_close""}"
intra_same_slot_zscore,1,"{""x"": ""continuous_close""}"
intra_segment_amount_share,1,"{""amount"": ""amount_local""}"
intra_segment_realized_vol,1,"{""close"": ""continuous_close""}"
intra_segment_return,1,"{""close"": ""continuous_close""}"
intra_segment_volume_share,1,"{""volume"": ""raw_volume_shares""}"
intra_segment_vwap_deviation,3,"{""close"": ""continuous_close"", ""amount"": ""amount_local"", ""volume"": ""raw_volume_shares""}"
intra_session_boundary_jump,1,"{""price"": ""continuous_close""}"
intra_session_return_asymmetry,1,"{""close"": ""continuous_close""}"
intra_signed_imbalance_proxy,2,"{""close"": ""continuous_close"", ""value"": ""continuous_close""}"
intra_signed_jump_ratio,1,"{""close"": ""continuous_close""}"
intra_signed_return_profile_cosine,1,"{""close"": ""continuous_close""}"
intra_signed_tail_variation_ratio,1,"{""close"": ""continuous_close""}"
intra_slice_mask_pair_reduce,2,"{""x"": ""continuous_close"", ""y"": ""return_decimal""}"
intra_slice_mask_reduce,1,"{""x"": ""continuous_close""}"
intra_slot_amount_surprise,1,"{""amount"": ""amount_local""}"
intra_slot_volatility_surprise,2,"{""high"": ""continuous_high"", ""low"": ""continuous_low""}"
intra_slot_volume_surprise,1,"{""volume"": ""raw_volume_shares""}"
intra_state_count,1,"{""state"": ""continuous_close""}"
intra_state_dwell_stats,1,"{""state"": ""continuous_close""}"
intra_state_follow_beta,2,"{""x"": ""continuous_close"", ""target"": ""return_decimal""}"
intra_state_follow_corr,2,"{""x"": ""continuous_close"", ""target"": ""return_decimal""}"
intra_state_follow_ratio,2,"{""x"": ""continuous_close"", ""target"": ""return_decimal""}"
intra_state_interval_moment,1,"{""target"": ""return_decimal""}"
intra_state_pair_same_slot_corr,1,"{""state_a"": ""continuous_close""}"
intra_state_sum,2,"{""x"": ""continuous_close"", ""target"": ""return_decimal""}"
intra_state_transition_entropy,1,"{""state"": ""continuous_close""}"
