canonical,direct_use_status,mining_role,terminal_allowed,allowed_ast_positions,mining_lane,economic_effect_family,semantic_redundancy_group,data_inputs,scalar_parameters,context_inputs,group_inputs,event_inputs,output_semantic_kind,output_unit,supported_markets,source_recipes,runtime_cost,production_certified,directly_usable,retention_reason,delete_reason,replacement
fin_lease_intensity,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,usufruct_assets|lease_liability|total_assets|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_log_change,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|flow_type,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_margin_persistence,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,margin|period_id|flow_type,periods,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_mean_abs_deviation,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_median_abs_deviation,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_minority_profit_share,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,minority_profit|net_profit|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_miss_streak,research_tool,denied,False,,supporting,unknown,,actual|expected|period_id|max_periods,,,,,series,,ashare|us,fundamental_pit,1,False,False,permanently excluded from mining — arbitrary-math/utility; research tool only,,
fin_monotonicity,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_negative_streak,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|max_periods,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_net_borrowing_cashflow,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,cash_from_borrowing|cash_from_bonds_issue|borrowing_repayment|avg_assets|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_net_debt_issuance,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,short_term_loan|long_term_loan|bonds_payable|avg_assets|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_noncore_income_ratio,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,investment_income|fair_value_income|asset_deal_income|other_earnings|non_operating_revenue|non_operating_expense|total_profit|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_oci_to_equity,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,other_comprehensive_income|avg_equity|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_other_earnings_dependence,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,other_earnings|total_profit|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_pct_change,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|flow_type,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_percentile_history,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_percentile_vs_prior_history,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_period_restated,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_period_revision_age,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|max_days,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_period_revision_count,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_positive_streak,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|max_periods,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_qoq,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_quarter_from_cumulative,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|fiscal_quarter,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_range,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_ratio,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,numerator|denominator,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_rd_capitalization_ratio,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,capitalized_dev_increase|rd_expense|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_rd_total_intensity,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,rd_expense|capitalized_dev_increase|operating_revenue|period_id,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_receivable_sales_divergence,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,account_receivable|operating_revenue|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_restated_flag,research_tool,denied,False,,supporting,unknown,,x|period_id|window_days|coverage_threshold,,,,,series,,ashare|us,fundamental_pit,1,False,False,permanently excluded from mining — arbitrary-math/utility; research tool only,,
fin_revision_count,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,fundamental_revision,,x|period_id|window_days|coverage_threshold,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_revision_delta,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,fundamental_revision,,x|period_id,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_revision_direction,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,fundamental_revision,,x|period_id,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_revision_magnitude,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,fundamental_revision,,x|period_id|window_days|coverage_threshold,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_revision_pct,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,fundamental_revision,,x|period_id,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_roe_cash_gap,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,net_profit|ocf|avg_equity|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_seasonal_percentile,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_end|fiscal_quarter|years|min_history,revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_seasonal_zscore,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_end|fiscal_quarter|years|min_history,revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_sign_change_count,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_stability,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_staleness,research_tool,denied,False,,supporting,unknown,,x|period_id|max_days,,,,,series,,ashare|us,fundamental_pit,1,False,False,permanently excluded from mining — arbitrary-math/utility; research tool only,,
fin_std,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_surprise,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,actual|expected|scale_base,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_surprise_event_percentile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,actual|expected|scale_base|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_surprise_event_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,actual|expected|scale_base|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_surprise_zscore,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,actual|expected|scale_base|window_days,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental revision/expectation/surprise statistic — alpha (PIT lane),,
fin_total_operating_accruals,delete_no_data,fundamental_pit,False,,supporting,unknown,,total_assets|cash|current_liabilities|short_term_debt|tax_payable|depreciation|avg_assets|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,"no reliable depreciation/amortization source in A or US after R17 — keep as backlog/docs, not public mining","required concepts (depreciation, amortization) have no provider in either market",
fin_trend_acceleration,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,short_periods|long_periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_trend_r2,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_trend_slope,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_trend_tstat,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_ttm,move_internal,internal,False,,supporting,unknown,,x|period_id|periods_per_year|flow_type,,,,,series,,ashare|us,fundamental_pit,1,False,False,internal supporting layer — not public mining,,
fin_ttm_cumulative,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|fiscal_quarter|periods_per_year,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_ttm_quarterly,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|periods_per_year,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_turnover,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,flow|balance|period_id|average_periods,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_working_capital_accruals,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,current_assets|cash|current_liabilities|short_term_debt|tax_payable|avg_assets|period_id|flow_type,,,,,series,,ashare|us,fundamental_pit,3,False,False,fundamental PIT alpha (verified role),,
fin_working_capital_change,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,working_capital|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_yoy,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|periods_per_year|flow_type,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_zscore_history,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fin_zscore_vs_prior_history,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id,periods,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_acceleration,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,value|period_id|require_consecutive,lag|periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_accrual_quality,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,accrual|cashflow|period_id|require_consecutive,periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_ar_resid_std,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|ar_lag|min_train|ddof|require_consecutive,periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_asymmetric_elasticity,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,cost|activity|period_id|mode|add_intercept|min_obs_per_regime|require_consecutive,periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_asymmetric_timeliness,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,scaled_earnings|report_return|period_id,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_autocorr,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|min_pairs|require_consecutive,periods|lag|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_change_direction_agreement,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|y|period_id|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_direction_consistency,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,signal|period_id|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_pair_direction_agreement,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,signal_x|signal_y|period_id|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_pct_change,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,value|period_id|require_consecutive,lag|periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_perpetual_inventory,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,flow|period_id|depreciation|periods_per_year|warmup_periods|require_consecutive,revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_regression_resid_std,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,y|period_id|x1|x2|min_obs|add_intercept|ddof|require_consecutive,periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_reversal_ratio,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|min_pairs|require_consecutive,periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_rolling_std,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,value|period_id|ddof|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_sign_agreement,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,signal_x|signal_y|period_id|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_sign_consistency,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,signal|period_id|require_consecutive,periods|min_periods|revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_standardized_surprise,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,x|period_id|seasonal_lag|lookback_periods|min_history|require_consecutive,revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fiscal_true_streak,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,condition|period_id|require_consecutive,revision_policy,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
fix,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,x,,,,,series,,ashare|us,daily_bar,1,False,False,discrete-jump quantization building block,,
flex_max,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,flex_max_min,x|y_or_window,,,,,series,,ashare|us,daily_bar,1,False,False,dual-arity max building block: panel (==maximum) or rolling window (==ts_max),,
flex_min,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,flex_max_min,x|y_or_window,,,,,series,,ashare|us,daily_bar,1,False,False,dual-arity min building block: panel (==minimum) or rolling window (==ts_min),,
float_share_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,float_shares|total_shares,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
floor,direct_intermediate,recipe_internal,False,intermediate,intermediate,unknown,,x,,,,,series,,ashare|us,daily_bar,1,True,True,discrete-jump bucketing building block,,
free_float_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,free_cap|capitalization,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
free_float_share_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,free_float_shares|total_shares,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
free_float_turnover,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,volume|free_cap,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
free_to_circulating_ratio,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,free_cap|circulating_cap,,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
fundamental_staleness,direct_alpha,fundamental_pit,True,intermediate|terminal,alpha_direct,unknown,,available_at|decision_time,,,,,series,,ashare|us,fundamental_pit,1,False,False,fundamental PIT alpha (verified role),,
garman_klass_vol,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,volatility,range_vol,open|high|low|close,window,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
ge,direct_condition,condition,False,condition,condition,unknown,,x|y,,,,,series,,ashare|us,daily_bar,0,True,True,Boolean/comparison/missingness — condition slot only,,
group_corr_mst_length,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group_id,window,,,,series,,ashare|us,daily_bar,8,False,False,stock-level alpha (verified role),,
group_count,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_current_members_tail_coexceedance,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group_id,window|quantile|side,,,,series,,ashare|us,daily_bar,7,False,False,stock-level alpha (verified role),,
group_decay_linear,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,group|window|fallback_policy,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_distribution_js_divergence,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x|group|min_group_size|exclude_group_from_reference,bins,,,,series,,ashare|us,daily_bar,3,False,False,group aggregate — same value within group; group context only,,
group_ex_self_mad,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,min_peers,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_ex_self_mean,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,,,,,series,same_as:x,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_ex_self_quantile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,q|min_peers,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_ex_self_std,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,min_peers,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_ex_self_weighted_mean,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|weight|group,,,,,series,same_as:x,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_feature_coverage_ratio,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,,,,,series,,ashare|us,daily_bar,2,False,False,group state (verified role),,
group_feature_effective_rank,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,group_schema_version|breadth_window,,,,series,,ashare|us,daily_bar,4,False,False,group state (verified role),,
group_feature_mode_localization,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,group_schema_version|eigen_gap|breadth_window,,,,series,,ashare|us,daily_bar,4,False,False,group state (verified role),,
group_feature_mode_share,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,group_schema_version|breadth_window,,,,series,,ashare|us,daily_bar,4,False,False,group state (verified role),,
group_feature_second_mode_localization,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,group_schema_version|eigen_gap|breadth_window,,,,series,,ashare|us,daily_bar,4,False,False,group aggregate — same value within group; group context only,,
group_feature_spectral_gap,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,group_schema_version|breadth_window,,,,series,,ashare|us,daily_bar,4,False,False,group aggregate — same value within group; group context only,,
group_feature_valid_member_count,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,f1|f2|f3|group,,,,,series,,ashare|us,daily_bar,2,False,False,group state (verified role),,
group_impute_median,direct_source_transform,source_transform,False,data_processing,source_transform,unknown,,x|group|min_group_size,,,,,series,,ashare|us,daily_bar,1,False,False,missing-value / source transform — data-processing slot only,,
group_kurtosis,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x|group,,,,,series,dimensionless,ashare|us,daily_bar,2,False,False,group aggregate — same value within group; group context only,,
group_leader_laggard_exposure,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,own_return|leader_return|group,window|lag,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_max,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_mean,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_min,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_multi_level_rank_consistency,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group1|group2|group3,,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_multi_resid,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,y|group|x1,x2|x3|x4|x5|add_intercept|min_obs,,,,series,same_as:y,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_neutralize,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,fallback_policy,,group,,series,,ashare|us,daily_bar,1,True,True,stock-level alpha (verified role),,
group_normalize,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,stock-level alpha (verified role),,
group_peer_beta_deviation,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,beta|group|weight,,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_peer_deviation_index,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,d1|d2|d3|d4|d5,,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_peer_information_diffusion,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,own_return|group,window|lag,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_percentile,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,p|side|missing_group_policy,,group,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_quantile_spread,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,q_low|q_high,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_rank,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,fallback_policy,,group,,series,,ashare|us,daily_bar,1,True,True,stock-level alpha (verified role),,
group_rank_weighted_value,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,False,False,stock-level alpha (verified role),,
group_return_dispersion_exposure,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,own_return|industry_dispersion,window,,,,series,,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_signal_attraction_share,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,damping,,,,series,,ashare|us,daily_bar,6,False,False,group signal attraction share,,
group_skewness,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group,,,,,series,dimensionless,ashare|us,daily_bar,2,False,False,stock-level alpha (verified role),,
group_spd_feature_structure_shift,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,f1|f2|f3|group,reference_window|min_peers|min_reference_days|composition_policy,,,,series,,ashare|us,daily_bar,5,False,False,stock-level alpha (verified role),,
group_std,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_sum,direct_group_state,group_state,False,gate|interaction,group_state,unknown,,x,group|fallback_policy,,,,series,,ashare|us,daily_bar,1,True,True,group aggregate — same value within group; group context only,,
group_tail_centrality,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group_id,window|quantile|side|min_periods|prior_threshold,,,,series,,ashare|us,daily_bar,6,False,False,stock-level alpha (verified role),,
group_tail_lead_score,direct_alpha,alpha,True,intermediate|terminal,alpha_direct,unknown,,x|group_id,window|quantile|side|lag|min_periods|prior_threshold|min_conditioning_events,,,,series,,ashare|us,daily_bar,7,False,False,group tail-lead score,,
