canonical,aliases,source_file,source_symbol,category,business_category,surface,production_certification,role,terminal_allowed,deterministic,pit_safe_claim,stateful,input_arity,input_grain,output_grain,input_units,output_unit,params,default_params,backends,window_semantics,tags,description
fiscal_sign_consistency,,cleaned_operators.fiscal_event_ops,_FunctionOperator,fundamental_period,,daily,PENDING,,,,,,,,,,,signal|period_id|periods|min_periods|require_consecutive|revision_policy,{},pandas_numpy|polars,,fundamental_period|pit_safe|strict_fiscal_event,direction consistency of an already signed fiscal signal
fiscal_standardized_surprise,,cleaned_operators.fiscal_event_ops,_FunctionOperator,fundamental_period,,daily,PENDING,,,,,,,,,,,x|period_id|seasonal_lag|lookback_periods|min_history|require_consecutive|revision_policy,{},pandas_numpy|polars,,fundamental_period|pit_safe|strict_fiscal_event,causal seasonal surprise standardized by prior fiscal events
fiscal_true_streak,,cleaned_operators.fiscal_event_ops,_FunctionOperator,fundamental_period,,daily,PENDING,,,,,,,,,,,condition|period_id|require_consecutive|revision_policy,{},pandas_numpy|polars,,fundamental_period|pit_safe|strict_fiscal_event,consecutive true distinct fiscal events
fix,,cleaned_operators.common.elementwise,Fix,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|rounding|integer,取整数部分（向0取整）
flex_max,max,cleaned_operators.common.elementwise,FlexMax,math,elementwise_math,daily,PENDING,,,,,,,,,,,x|y_or_window,{},pandas_numpy|polars,,math|max|elementwise|rolling,"max(x,y) 逐点比较；max(x,n) 滚动最大值"
flex_min,min,cleaned_operators.common.elementwise,FlexMin,math,elementwise_math,daily,PENDING,,,,,,,,,,,x|y_or_window,{},pandas_numpy|polars,,math|min|elementwise|rolling,"min(x,y) 逐点比较；min(x,n) 滚动最小值"
float_share_ratio,,cleaned_operators.ashare.ops,FloatShareRatio,ashare,capital_structure,daily,PENDING,,,,,,,,,,,float_shares|total_shares,{},pandas_numpy|polars|sql,,"ashare|daily|pit_safe|causal|typed_v2|signature:float_shares,total_shares->series|domain:capital|unit:ratio|cost:1",流通股本占总股本比例。
floor,,cleaned_operators.common.elementwise,Floor,math,elementwise_math,daily,PENDING,,,,,,,,,,,x,{},pandas_numpy|polars|sql,,math|rounding|down,向下取整
free_float_ratio,,cleaned_operators.valuation.ops_v2,Valuation_free_float_ratio,valuation,valuation,daily,PENDING,,,,,,,,,,,free_cap|capitalization,{},pandas_numpy|polars,,"valuation|ashare|daily|pit_safe|causal|typed_v2|signature:free_cap,capitalization->series|domain:valuation|unit:ratio|cost:1",自由流通股 / 总股本。
free_float_share_ratio,,cleaned_operators.ashare.ops,FreeFloatShareRatio,ashare,capital_structure,daily,PENDING,,,,,,,,,,,free_float_shares|total_shares,{},pandas_numpy|polars|sql,,"ashare|daily|pit_safe|causal|typed_v2|signature:free_float_shares,total_shares->series|domain:capital|unit:ratio|cost:1",自由流通股本占总股本比例。
free_float_turnover,,cleaned_operators.valuation.ops_v2,Valuation_free_float_turnover,valuation,valuation,daily,PENDING,,,,,,,,,,,volume|free_cap,{},pandas_numpy|polars,,"valuation|ashare|daily|pit_safe|causal|typed_v2|signature:volume,free_cap->series|domain:valuation|unit:turnover|cost:1",成交量 / 自由流通股。
free_to_circulating_ratio,,cleaned_operators.valuation.ops_v2,Valuation_free_to_circulating_ratio,valuation,valuation,daily,PENDING,,,,,,,,,,,free_cap|circulating_cap,{},pandas_numpy|polars,,"valuation|ashare|daily|pit_safe|causal|typed_v2|signature:free_cap,circulating_cap->series|domain:valuation|unit:ratio|cost:1",自由流通股 / 流通股。
fundamental_staleness,,cleaned_operators.overhaul.base,PandasFunctionOperator,fundamental_period,,daily,PENDING,,,,,,,,,,,available_at|decision_time,{},pandas_numpy|polars,,daily|panel|fundamental_period,calendar-day age of visible fundamental data
garman_klass_vol,,cleaned_operators.price_volume.technical_extensions,Production_garman_klass_vol,ohlc_volatility,technical_extension,daily,PENDING,,,,,,,,,,,open|high|low|close|window,{},pandas_numpy|polars|sql,,pit_safe|causal|production_extension,Annualized Garman-Klass OHLC volatility estimator.
ge,,cleaned_operators.common.scalar_compare,ScalarGe,elementwise_math,elementwise_math,daily,PENDING,,,,,,,,,,,x|y,{},pandas_numpy|polars|sql,,comparison|scalar_broadcast|pit_safe,ge comparison with symmetric scalar broadcasting
group_corr_mst_length,,cleaned_operators.cross_section_ext,GroupCorrMstLength,group_structure,group_structure,daily,PENDING,,,,,,,,,,,x|group_id|window,"{""window"": ""MISSING""}",pandas_numpy|polars,,"cross_section_ext|daily|pit_safe|causal|typed_v2|deterministic|signature:x,group_id,window->series|domain:price_volume|unit:ratio|cost:8",组内相关图最小生成树（Prim）的平均边长。
group_count,,cleaned_operators.common.group,GroupCount,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|count|group|aggregate,计算组内非空样本数
group_current_members_tail_coexceedance,group_tail_coexceedance_density,cleaned_operators.cross_section_ext,GroupTailCoexceedanceDensity,group_structure,group_structure,daily,PENDING,,,,,,,,,,,x|group_id|window|quantile|side,"{""quantile"": ""MISSING"", ""side"": ""MISSING"", ""window"": ""MISSING""}",pandas_numpy|polars,,"cross_section_ext|daily|pit_safe|causal|typed_v2|deterministic|signature:x,group_id,window,quantile,side->series|domain:price_volume|unit:ratio|cost:7",组内两只股票同时处于各自极值尾部的概率密度（current-members-retrospective，净逐 pair 独立基线）。
group_decay_linear,group_rank_linear_weighted_value,cleaned_operators.common.group,GroupDecayLinear,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|window|fallback_policy,"{""window"": ""MISSING""}",pandas_numpy|polars|sql,,cross_sectional|decay|linear|group|rank_weighted|compat_alias,组内按排名线性加权（兼容名；window 不参与计算，诚实名称 group_rank_weighted_value）
group_distribution_js_divergence,,cleaned_operators.gather_ext,_PandasOp,cross_sectional,,daily,PENDING,,,,,,,,,,,x|group|bins|min_group_size|exclude_group_from_reference,{},pandas_numpy|polars,,"daily|panel|pit_safe|causal|deterministic|signature:x,group,bins,min_group_size,exclude_group_from_reference->series|domain:cross_section|unit:dimensionless|cost:3",group_distribution_js_divergence
group_ex_self_mad,,cleaned_operators.alpha_language_cross,GroupExSelfMad,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|min_peers,{},pandas_numpy|polars,,"cross_section|daily|pit_safe|causal|typed_v2|signature:x,group,min_peers->series|domain:price_volume|unit:level|cost:1",组内除自身外其余成员的 MAD。
group_ex_self_mean,,cleaned_operators.group_ext,GroupExSelfMean,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,same_as:x,x|group,{},pandas_numpy|polars|sql,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:x,group->series|domain:price_volume|unit:same_as:x|cost:1",组内除自身外其余成员的均值。
group_ex_self_quantile,,cleaned_operators.alpha_language_cross,GroupExSelfQuantile,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|q|min_peers,{},pandas_numpy|polars,,"cross_section|daily|pit_safe|causal|typed_v2|signature:x,group,q,min_peers->series|domain:price_volume|unit:level|cost:1",组内除自身外其余成员的 q 分位数。
group_ex_self_std,,cleaned_operators.alpha_language_cross,GroupExSelfStd,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|min_peers,{},pandas_numpy|polars,,"cross_section|daily|pit_safe|causal|typed_v2|signature:x,group,min_peers->series|domain:price_volume|unit:level|cost:1",组内除自身外其余成员的 std。
group_ex_self_weighted_mean,,cleaned_operators.group_ext,GroupExSelfWeightedMean,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,same_as:x,x|weight|group,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:x,weight,group->series|domain:price_volume|unit:same_as:x|cost:1",组内除自身外其余成员的权重加权均值。
group_feature_coverage_ratio,,cleaned_operators.group_spectrum,GroupFeatureCoverageRatio,group_structure,group_structure,extended,PENDING,group_state,,,,,,,,,,f1|f2|f3|group,{},pandas_numpy|polars,,"group_structure|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group->series|domain:price_volume|unit:ratio|cost:2|group_state|extended",组内当日覆盖比例 valid/rows（谱稳定性诊断）。
group_feature_effective_rank,group_corr_effective_rank,cleaned_operators.group_spectrum,GroupFeatureEffectiveRank,group_structure,group_structure,daily,PENDING,group_state,,,,,,,,,,f1|f2|f3|group|group_schema_version,"{""group_schema_version"": ""v1""}",pandas_numpy|polars,,"group_structure|daily|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,group_schema_version->series|domain:price_volume|unit:count|cost:4|group_state",组内特征谱有效秩 exp(-Σp log p)。
group_feature_mode_localization,group_corr_mode_localization,cleaned_operators.group_spectrum,GroupFeatureModeLocalization,group_structure,group_structure,daily,PENDING,group_state,,,,,,,,,,f1|f2|f3|group|group_schema_version|eigen_gap,"{""eigen_gap"": ""0.1"", ""group_schema_version"": ""v1""}",pandas_numpy|polars,,"group_structure|daily|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,group_schema_version,eigen_gap->series|domain:price_volume|unit:ratio|cost:4|group_state|eigen_gap:0.1","组内 top-mode 局域化 (N·Σu1⁴-1)/(N-1)（[0,1]，谱隙门槛）。"
group_feature_mode_share,group_corr_mode_share,cleaned_operators.group_spectrum,GroupFeatureModeShare,group_structure,group_structure,daily,PENDING,group_state,,,,,,,,,,f1|f2|f3|group|group_schema_version,"{""group_schema_version"": ""v1""}",pandas_numpy|polars,,"group_structure|daily|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,group_schema_version->series|domain:price_volume|unit:ratio|cost:4|group_state",组内特征谱 top-mode 占比 σ1²/Σσ²（拥挤/同步化）。
group_feature_second_mode_localization,group_corr_second_mode_localization,cleaned_operators.group_spectrum,GroupFeatureSecondModeLocalization,group_structure,group_structure,daily,PENDING,group_state,,,,,,,,,,f1|f2|f3|group|group_schema_version|eigen_gap,"{""eigen_gap"": ""0.1"", ""group_schema_version"": ""v1""}",pandas_numpy|polars,,"group_structure|daily|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,group_schema_version,eigen_gap->series|domain:price_volume|unit:ratio|cost:4|group_state|eigen_gap:0.1",组内第二模式局域化 (N·Σu2⁴-1)/(N-1)。
group_feature_spectral_gap,group_corr_spectral_gap,cleaned_operators.group_spectrum,GroupFeatureSpectralGap,group_structure,group_structure,daily,PENDING,group_state,,,,,,,,,,f1|f2|f3|group|group_schema_version,"{""group_schema_version"": ""v1""}",pandas_numpy|polars,,"group_structure|daily|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,group_schema_version->series|domain:price_volume|unit:ratio|cost:4|group_state",组内谱隙 (σ1²-σ2²)/Σσ²（单主题 vs 双主题竞争）。
group_feature_valid_member_count,,cleaned_operators.group_spectrum,GroupFeatureValidMemberCount,group_structure,group_structure,extended,PENDING,group_state,,,,,,,,,,f1|f2|f3|group,{},pandas_numpy|polars,,"group_structure|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group->series|domain:price_volume|unit:count|cost:2|group_state|extended",组内当日有效成员数（诊断：谱输出为何 NaN）。
group_impute_median,,cleaned_operators.overhaul.base,PandasFunctionOperator,group,,daily,PENDING,,,,,,,,,,,x|group|min_group_size,{},pandas_numpy|polars,,daily|panel|group,组内中位数填补缺失值（组内有限样本不足 min_group_size 时不填）。
group_kurtosis,,cleaned_operators.relation.distribution,GroupKurtosis,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,dimensionless,x|group,{},pandas_numpy|polars|sql,,"cross_sectional|daily|pit_safe|causal|typed_v2|signature:x,group->series|domain:relation|unit:dimensionless|cost:2",组内成员截面峰度。
group_leader_laggard_exposure,,cleaned_operators.cross_section.peer_ops,PeerOps_group_leader_laggard_exposure,group_neutralization,peer,daily,PENDING,,,,,,,,,,,own_return|leader_return|group|window|lag,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:own_return,leader_return,group,window,lag->series|domain:peer|unit:level|cost:2",个股收益对行业领先股滞后收益的 Beta。
group_max,,cleaned_operators.common.group,GroupMax,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|max|group|aggregate,计算组内最大值
group_mean,,cleaned_operators.common.group,GroupMean,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|mean|group|aggregate,计算组内均值
group_min,,cleaned_operators.common.group,GroupMin,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|min|group|aggregate,计算组内最小值
group_multi_level_rank_consistency,,cleaned_operators.cross_section.peer_ops,PeerOps_group_multi_level_rank_consistency,group_neutralization,peer,daily,PENDING,,,,,,,,,,,x|group1|group2|group3,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:x,group1,group2,group3->series|domain:peer|unit:level|cost:2",特征在 sw_l1/l2/l3 组内排名一致度（0~1）。
group_neutralize,INDUSTRY_NEUTRAL|INDUSTRY_NEUTRALIZE|IND_NEUTRALIZE|NEUTRALIZE|c_neutralize|group_demean|ind_neutralize|industry_neutral|industry_neutralize|neutralize|panel_neutralize,cleaned_operators.common.group,GroupDemean,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|demean|group|industry,在指定分组内进行去均值处理 (x - group_mean)
group_normalize,,cleaned_operators.common.group,GroupNormalize,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|normalize|group|industry,"在指定分组内对股票进行归一化到[0,1]"
group_peer_beta_deviation,,cleaned_operators.cross_section.peer_ops,PeerOps_group_peer_beta_deviation,group_neutralization,peer,daily,PENDING,,,,,,,,,,,beta|group|weight,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:beta,group,weight->series|domain:peer|unit:ratio|cost:2",个股滚动 Beta - 行业内加权 peer Beta（剔除自身）。
group_peer_deviation_index,,cleaned_operators.cross_section.peer_ops,PeerOps_group_peer_deviation_index,group_neutralization,peer,daily,PENDING,,,,,,,,,,,d1|d2|d3|d4|d5,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:d1,d2,d3,d4,d5->series|domain:peer|unit:level|cost:2",多个标准化同行偏离的聚合指数。
group_peer_information_diffusion,,cleaned_operators.cross_section.peer_ops,PeerOps_group_peer_information_diffusion,group_neutralization,peer,daily,PENDING,,,,,,,,,,,own_return|group|window|lag,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:own_return,group,window,lag->series|domain:peer|unit:level|cost:2",个股收益对行业 ex-self 同行过去收益的滚动回归 Beta（信息扩散）。
group_percentile,,cleaned_operators.semantic_hardening,GroupPercentileAudited,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|p|side|missing_group_policy,{},pandas_numpy|polars|sql,,cross_sectional|group|percentile|pit_safe|audited,组内 top/bottom 分位掩码；默认 top。缺失分组默认报错，不静默退化为全截面。
group_quantile_spread,,cleaned_operators.relation.distribution,GroupQuantileSpread,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|q_low|q_high,{},pandas_numpy|polars|sql,,"cross_sectional|daily|pit_safe|causal|typed_v2|signature:x,group,q_low,q_high->series|domain:relation|unit:level|cost:2",组内 Q_high - Q_low。
group_rank,,cleaned_operators.common.group,GroupRank,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|rank|group|industry,在指定分组内对股票进行排名，返回归一化排名(0-1)
group_rank_weighted_value,,cleaned_operators.common.group,GroupRankWeightedValue,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars,,cross_sectional|rank_weighted|group|linear,组内按平均排名线性加权（CS rank-weighted value；非时间衰减）
group_return_dispersion_exposure,,cleaned_operators.cross_section.peer_ops,PeerOps_group_return_dispersion_exposure,group_neutralization,peer,daily,PENDING,,,,,,,,,,,own_return|industry_dispersion|window,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:own_return,industry_dispersion,window->series|domain:peer|unit:level|cost:2",个股收益对行业截面收益离散度变化的敏感度。
group_signal_attraction_share,relation_pagerank_centrality,cleaned_operators.relation.ops_ext,GroupSignalAttractionShare,relation,relation,extended,PENDING,,,,,,,,,,,x|group|damping,{},pandas_numpy|polars,,"relation|pit_safe|causal|deterministic|signature:x,group,damping->series|domain:relation|unit:level|cost:6|extended",组内信号吸引份额（damping 固定 0.85）。
group_skewness,,cleaned_operators.relation.distribution,GroupSkewness,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,dimensionless,x|group,{},pandas_numpy|polars|sql,,"cross_sectional|daily|pit_safe|causal|typed_v2|signature:x,group->series|domain:relation|unit:dimensionless|cost:2",组内成员截面偏度。
group_spd_feature_structure_shift,,cleaned_operators.advanced_structure,GroupSpdFeatureStructureShift,structure_shift,structure_shift,extended,PENDING,,,,,,,,,,,f1|f2|f3|group|reference_window|min_peers|min_reference_days|composition_policy,{},pandas_numpy|polars,,"structure_shift|pit_safe|causal|typed_v2|deterministic|signature:f1,f2,f3,group,reference_window,min_peers,min_reference_days,composition_policy->series|domain:price_volume|unit:distance|cost:5|extended",组内 SPD(log-Euclidean) 特征相关结构漂移（恰好 3 特征）。
group_std,,cleaned_operators.common.group,GroupStd,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|std|group|aggregate,计算组内标准差
group_sum,,cleaned_operators.common.group,GroupSum,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|sum|group|aggregate,计算组内求和
group_tail_centrality,,cleaned_operators.tail_systemic,GroupTailCentrality,tail_systemic,tail_systemic,extended,PENDING,,,,,,,,,,,x|group_id|window|quantile|side|min_periods|prior_threshold,{},pandas_numpy|polars,,"tail_systemic|pit_safe|causal|typed_v2|deterministic|signature:x,group_id,window,quantile,side,min_periods,prior_threshold->series|domain:price_volume|unit:probability|cost:6|extended",尾部系统性中心度（个股极值与同组极值共振程度）。
group_tail_lead_score,,cleaned_operators.tail_systemic,GroupTailLeadScore,tail_systemic,tail_systemic,extended,PENDING,,,,,,,,,,,x|group_id|window|quantile|side|lag|min_periods|prior_threshold|min_conditioning_events,{},pandas_numpy|polars,,"tail_systemic|pit_safe|causal|typed_v2|deterministic|signature:x,group_id,window,quantile,side,lag,min_periods,prior_threshold,min_conditioning_events->series|domain:price_volume|unit:signed_probability_difference|cost:7|extended","尾部领先分 P(E_peer,d+lag | E_i,d) - P(E_peer,d+lag)（共同队列+最小事件数）。"
group_tail_ratio,,cleaned_operators.relation.distribution,GroupTailRatio,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|q_low|q_high,{},pandas_numpy|polars,,"cross_sectional|daily|pit_safe|causal|typed_v2|signature:x,group,q_low,q_high->series|domain:relation|unit:ratio|cost:2",组内右尾/左尾分位数绝对值比。
group_topk_mean,,cleaned_operators.gather_ext,_PandasOp,cross_sectional,,daily,PENDING,,,,,,,,,,,target|score|group|k|exclude_self,{},pandas_numpy|polars|sql,,"daily|panel|pit_safe|causal|deterministic|signature:target,score,group,k,exclude_self->series|domain:cross_section|unit:same_as:target|cost:3",group_topk_mean
group_ts_decay_linear,,cleaned_operators.common.group,GroupTSDecayLinear,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|window|normalize|fallback_policy,{},pandas_numpy|polars,,cross_sectional|decay|linear|group|time_decay,组内按时间位置线性衰减加权（真实时间衰减；窗口参与计算）
group_valid_count,,cleaned_operators.overhaul.base,PandasFunctionOperator,group,,daily,PENDING,,,,,,,,,,,x|group,{},pandas_numpy|polars|sql,,daily|panel|group,组内有限值个数。
group_wasserstein_barycenter_distance,,cleaned_operators.gemini_v2_common,_PandasOp,cross_sectional_state,,extended,PENDING,,,,,,,,,,same_as:x,x|group|window|min_group_size,"{""min_group_size"": ""MISSING"", ""window"": ""MISSING""}",pandas_numpy|polars,,"panel|pit_safe|causal|deterministic|signature:x,group,window,min_group_size->series|domain:transport|unit:same_as:x|cost:5|extended",group_wasserstein_barycenter_distance
group_weighted_mean,,cleaned_operators.overhaul.base,PandasFunctionOperator,cross_sectional,,daily,PENDING,,,,,,,,,,,x|group|weight,{},pandas_numpy|polars|sql,,daily|panel|cross_sectional,within-group weighted mean
group_weighted_zscore,,cleaned_operators.overhaul.base,PandasFunctionOperator,cross_sectional,,daily,PENDING,,,,,,,,,,,x|group|weight,{},pandas_numpy|polars,,daily|panel|cross_sectional,within-group weighted zscore
group_winsorize,,cleaned_operators.common.group,GroupWinsorize,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|a,{},pandas_numpy|polars|sql,,cross_sectional|winsorize|group|outlier,在指定分组内进行缩尾处理，将超出分位数a的值截断
group_zscore,,cleaned_operators.common.group,GroupZScore,cross_sectional,group_neutralization,daily,PENDING,,,,,,,,,,,x|group|fallback_policy,"{""fallback_policy"": ""nan""}",pandas_numpy|polars|sql,,cross_sectional|zscore|group|industry|standardize,在指定分组内进行Z-Score标准化 (x-mean)/std
gt,,cleaned_operators.common.scalar_compare,ScalarGt,elementwise_math,elementwise_math,daily,PENDING,,,,,,,,,,,x|y,{},pandas_numpy|polars|sql,,comparison|scalar_broadcast|pit_safe,gt comparison with symmetric scalar broadcasting
hierarchical_group_neutralize,,cleaned_operators.group_ext,HierarchicalGroupNeutralize,group_neutralization,group_neutralization,daily,PENDING,,,,,,,,,,same_as:x,x|group|subgroup,{},pandas_numpy|polars,,"group_neutralization|daily|pit_safe|causal|typed_v2|signature:x,group,subgroup->series|domain:price_volume|unit:same_as:x|cost:1","按 (group, subgroup) 组合键去均值（真 nested 中性化；子组码跨父组重复时不再串组）。"
high_low_spread_proxy,,cleaned_operators.price_volume.liquidity_v2,LiquidityV2_high_low_spread_proxy,price_volume_extension,price_volume,daily,PENDING,,,,,,,,,,,high|low|window,{},pandas_numpy|polars|sql,,pit_safe|causal|bounded_history|production_extension,Rolling log high-low spread proxy.
holder_class_entropy,,cleaned_operators.shareholder.churn_network,Shareholder_holder_class_entropy,shareholder,shareholder,daily,PENDING,,,,,,,,,,,s1|s2|s3|s4|s5|s6|s7|s8,{},pandas_numpy|polars,,"shareholder|ashare|daily|pit_safe|causal|typed_v2|signature:s1,s2,s3,s4,s5,s6,s7,s8->series|domain:shareholder|unit:ratio|cost:1",股东类别持股权重熵（归一化；仅已披露前十大股东口径，非全体股东结构）。
holder_class_js_shift,,cleaned_operators.advanced_structure,HolderClassJsShift,structure_shift,structure_shift,extended,PENDING,,,,,,,,,,,s1|s2|s3|s4|s5|ps1|ps2|ps3|ps4|ps5,{},pandas_numpy|polars,,"structure_shift|pit_safe|causal|typed_v2|deterministic|signature:s1,s2,s3,s4,s5,ps1,ps2,ps3,ps4,ps5->series|domain:shareholder|unit:ratio|cost:2|extended","股东类别分布 JS 距离 [0,1]（当前 vs 上一披露快照）。"
holder_common_holding_peer_return,,cleaned_operators.shareholder.churn_network,Shareholder_holder_common_holding_peer_return,shareholder,shareholder,daily,PENDING,,,,,,,,,,,peer_return|own_return|overlap,{},pandas_numpy|polars,,"shareholder|ashare|daily|pit_safe|causal|typed_v2|signature:peer_return,own_return,overlap->series|domain:shareholder|unit:ratio|cost:1",共同持股同行收益（重叠加权，剔除自身；假设 peer_return 已含 overlap*own_return 分量，overlap 未知→NaN）。
holder_company_ownership_hhi,,cleaned_operators.shareholder.ops,HolderCompanyOwnershipHhi,shareholder,shareholder,extended,PENDING,,,,,,,,,,,s1|s2|s3|s4|s5|s6|s7|s8|s9|s10,{},pandas_numpy|polars,,"shareholder|ashare|pit_safe|causal|typed_v2|signature:s1,s2,s3,s4,s5,s6,s7,s8,s9,s10->series|domain:shareholder|unit:ratio|cost:1|extended",公司总股本口径 HHI：Σ ownership_ratio_i²（s_i 已是公司所有权比例）。
holder_concentration,,cleaned_operators.shareholder.ops,HolderConcentration,shareholder,shareholder,daily,PENDING,,,,,,,,,,,top_holder_shares|total_shares,{},pandas_numpy|polars|sql,,"shareholder|ashare|daily|pit_safe|causal|typed_v2|signature:top_holder_shares,total_shares->series|domain:shareholder|unit:ratio|cost:1",前 N 大股东持股数占总股本比例。
holder_concentration_acceleration,,cleaned_operators.shareholder.churn_network,Shareholder_holder_concentration_acceleration,shareholder,shareholder,daily,PENDING,,,,,,,,,,,concentration|window|snapshot_date,{},pandas_numpy|polars,,"shareholder|ashare|daily|pit_safe|causal|typed_v2|signature:concentration,window,snapshot_date->series|domain:shareholder|unit:ratio|cost:1",集中度趋势二阶变化；提供 snapshot_date 时按报告快照推进。
holder_concentration_change,,cleaned_operators.shareholder.ops,HolderConcentrationChange,shareholder,shareholder,research,DENIED,,,,,,,,,,,concentration|lag,{},pandas_numpy|polars,,"shareholder|ashare|pit_safe|causal|typed_v2|signature:concentration,lag->series|domain:shareholder|unit:ratio_change|cost:1|research",Deprecated: use source-side relation_snapshot_change on distinct snapshots.
holder_concentration_slope,,cleaned_operators.shareholder.churn_network,Shareholder_holder_concentration_slope,shareholder,shareholder,daily,PENDING,,,,,,,,,,,concentration|window|snapshot_date,{},pandas_numpy|polars,,"shareholder|ashare|daily|pit_safe|causal|typed_v2|signature:concentration,window,snapshot_date->series|domain:shareholder|unit:ratio|cost:1",集中度/HHI 多报告期趋势斜率；提供 snapshot_date 时按报告快照推进而非日频 ffill 行。
holder_count_change_rate,,cleaned_operators.shareholder.ops,HolderCountChangeRate,shareholder,shareholder,research,DENIED,,,,,,,,,,,holder_count|lag,{},pandas_numpy|polars,,"shareholder|ashare|pit_safe|causal|typed_v2|signature:holder_count,lag->series|domain:shareholder|unit:return|cost:1|research",Deprecated: TopTen rows are not total shareholder count; use snapshot entity-count metrics.
holder_disclosure_count,,cleaned_operators.shareholder.churn_network,Shareholder_holder_disclosure_count,shareholder,shareholder,extended,PENDING,,,,,,,,,,,s1|s2|s3|s4|s5|s6|s7|s8|s9|s10|sid1|sid2|sid3|sid4|sid5|sid6|sid7|sid8|sid9|sid10,{},pandas_numpy|polars,,"shareholder|ashare|pit_safe|causal|typed_v2|signature:s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,sid1,sid2,sid3,sid4,sid5,sid6,sid7,sid8,sid9,sid10->series|domain:shareholder|unit:count|cost:1|extended",当前快照披露的 distinct ShareholderId 数量（top-K 披露集合口径；0=无披露；任一已披露股东持股比例缺失或歧义→NaN，round-3 item 28）。
